  Batch 000: loaded 1024 samples, chunk tensor shape=torch.Size([1024, 3, 256, 256])
  Batch 001: loaded 1024 samples, chunk tensor shape=torch.Size([1024, 3, 256, 256])
  Batch 002: loaded 1024 samples, chunk tensor shape=torch.Size([1024, 3, 256, 256])
  Batch 003: loaded 1024 samples, chunk tensor shape=torch.Size([1024, 3, 256, 256])
  Batch 004: loaded 1024 samples, chunk tensor shape=torch.Size([1024, 3, 256, 256])
  Batch 005: loaded 1024 samples, chunk tensor shape=torch.Size([1024, 3, 256, 256])
  Batch 006: loaded 1024 samples, chunk tensor shape=torch.Size([1024, 3, 256, 256])
  Batch 007: loaded 1024 samples, chunk tensor shape=torch.Size([1024, 3, 256, 256])
  Batch 008: loaded 1024 samples, chunk tensor shape=torch.Size([1024, 3, 256, 256])
  Batch 009: loaded 1024 samples, chunk tensor shape=torch.Size([1024, 3, 256, 256])
  Batch 010: loaded 1024 samples, chunk tensor shape=torch.Size([1024, 3, 256, 256])
  Batch 011: loaded 1024 samples, chunk tensor shape=torch.Size([1024, 3, 256, 256])
  Batch 012: loaded 1024 samples, chunk tensor shape=torch.Size([1024, 3, 256, 256])
  Batch 013: loaded 1024 samples, chunk tensor shape=torch.Size([1024, 3, 256, 256])
  Batch 014: loaded 1024 samples, chunk tensor shape=torch.Size([1024, 3, 256, 256])
  Batch 015: loaded 1024 samples, chunk tensor shape=torch.Size([1024, 3, 256, 256])
  Batch 016: loaded 1024 samples, chunk tensor shape=torch.Size([1024, 3, 256, 256])
  Batch 017: loaded 1024 samples, chunk tensor shape=torch.Size([1024, 3, 256, 256])
  Batch 018: loaded 1024 samples, chunk tensor shape=torch.Size([1024, 3, 256, 256])
  Batch 019: loaded 1024 samples, chunk tensor shape=torch.Size([1024, 3, 256, 256])
